user_id,challenge_id,rating,date
28359f7fc700f9b9904a3b619c84022c7459,5,2,2025-06-08
28359f7fc700f9b9904a3b619c84022c7459,10,5,2025-06-05
ef9f2365f60ac8e2356e254c8c91488f7326,24,5,2025-05-08
ef9f2365f60ac8e2356e254c8c91488f7326,17,4,2025-05-29
ef9f2365f60ac8e2356e254c8c91488f6180,11,3,2025-05-12
ef9f2365f60ac8e2356e254c8c91488f5458,21,5,2025-06-14
ef9f2365f60ac8e2356e254c8c91488f5458,18,3,2025-05-31
28359f7fc700f9b9904a3b619c84022c2206,20,5,2025-05-26
28359f7fc700f9b9904a3b619c84022c17211,13,1,2025-05-15
28359f7fc700f9b9904a3b619c84022c17211,4,2,2025-05-19
28359f7fc700f9b9904a3b619c84022c13485,1,2,2025-05-24
28359f7fc700f9b9904a3b619c84022c13485,20,5,2025-05-25
28359f7fc700f9b9904a3b619c84022c13485,3,3,2025-05-16
28359f7fc700f9b9904a3b619c84022c13485,23,2,2025-05-20
a855c5c74458a07ac7301a1a8df5b7ed10094,3,5,2025-05-06
ef9f2365f60ac8e2356e254c8c91488f5380,22,3,2025-06-14
ef9f2365f60ac8e2356e254c8c91488f5380,15,5,2025-06-02
28359f7fc700f9b9904a3b619c84022c9488,18,3,2025-05-10
28359f7fc700f9b9904a3b619c84022c9488,17,3,2025-05-06
ef9f2365f60ac8e2356e254c8c91488f9260,11,2,2025-05-21
ca13bee745eaeffb2c494385eeec9a4712740,5,2,2025-06-19
33fa79e54690bc45beb83343f7e3c73013602,16,2,2025-05-15
33fa79e54690bc45beb83343f7e3c73013602,6,1,2025-05-16
33fa79e54690bc45beb83343f7e3c73013602,17,5,2025-05-15
a855c5c74458a07ac7301a1a8df5b7ed11343,17,3,2025-05-07
a855c5c74458a07ac7301a1a8df5b7ed11343,8,5,2025-06-03
a855c5c74458a07ac7301a1a8df5b7ed11343,15,3,2025-05-12
ca13bee745eaeffb2c494385eeec9a4712537,20,5,2025-05-16
ca13bee745eaeffb2c494385eeec9a4712537,17,4,2025-05-04
ef9f2365f60ac8e2356e254c8c91488f3554,10,3,2025-05-23
ef9f2365f60ac8e2356e254c8c91488f3554,2,2,2025-05-21
28359f7fc700f9b9904a3b619c84022c15662,3,4,2025-05-06
28359f7fc700f9b9904a3b619c84022c15662,24,2,2025-05-15
a855c5c74458a07ac7301a1a8df5b7ed7098,3,2,2025-05-17
33fa79e54690bc45beb83343f7e3c73010669,4,3,2025-06-15
33fa79e54690bc45beb83343f7e3c73010669,13,4,2025-05-20
33fa79e54690bc45beb83343f7e3c73010669,23,1,2025-05-23
33fa79e54690bc45beb83343f7e3c73012333,14,2,2025-06-07
33fa79e54690bc45beb83343f7e3c73012333,15,3,2025-05-05
33fa79e54690bc45beb83343f7e3c73012333,3,4,2025-05-07
a855c5c74458a07ac7301a1a8df5b7ed4505,22,3,2025-06-05
ca13bee745eaeffb2c494385eeec9a4713017,3,5,2025-05-09
33fa79e54690bc45beb83343f7e3c73013107,5,1,2025-05-25
28359f7fc700f9b9904a3b619c84022c18319,13,3,2025-05-27
28359f7fc700f9b9904a3b619c84022c18319,23,4,2025-05-28
28359f7fc700f9b9904a3b619c84022c18319,15,3,2025-05-11
28359f7fc700f9b9904a3b619c84022c15219,12,5,2025-05-20
28359f7fc700f9b9904a3b619c84022c15219,14,3,2025-05-26
ca13bee745eaeffb2c494385eeec9a473902,10,2,2025-06-11
ef9f2365f60ac8e2356e254c8c91488f7901,24,1,2025-06-08
ef9f2365f60ac8e2356e254c8c91488f7824,5,1,2025-06-10
28359f7fc700f9b9904a3b619c84022c12282,12,3,2025-05-29
28359f7fc700f9b9904a3b619c84022c12282,13,3,2025-05-21
