user_id,hexad_type,challenge_id,challenge_type,challenge_desc,date,event,success,streak,progress_pct,rating
28359f7fc700f9b9904a3b619c84022c7459,Achiever,5,Player,Complete 5 workouts with 100% execution.,2025-06-01,workout_completed,True,1,20.0,2.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,5,Player,Complete 5 workouts with 100% execution.,2025-06-02,skip,False,0,20.0,2.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,5,Player,Complete 5 workouts with 100% execution.,2025-06-03,workout_completed,True,1,40.0,2.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,5,Player,Complete 5 workouts with 100% execution.,2025-06-04,skip,False,0,40.0,2.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,5,Player,Complete 5 workouts with 100% execution.,2025-06-05,level_up,True,1,60.0,2.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,5,Player,Complete 5 workouts with 100% execution.,2025-06-06,skip,False,0,60.0,2.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,5,Player,Complete 5 workouts with 100% execution.,2025-06-07,skip,False,0,60.0,2.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,10,Socialiser,Train with 3 friends at least twice a week.,2025-05-30,beat_record,True,1,50.0,5.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,10,Socialiser,Train with 3 friends at least twice a week.,2025-05-31,workout_completed,False,0,50.0,5.0
28359f7fc700f9b9904a3b619c84022c7459,Achiever,10,Socialiser,Train with 3 friends at least twice a week.,2025-06-01,workout_completed,True,1,100.0,5.0
ef9f2365f60ac8e2356e254c8c91488f7326,Philanthropist,24,Socialiser,Complete a workout with a friend and both achieve 100% execution.,2025-05-02,skip,False,0,0.0,5.0
ef9f2365f60ac8e2356e254c8c91488f7326,Philanthropist,24,Socialiser,Complete a workout with a friend and both achieve 100% execution.,2025-05-03,skip,False,0,0.0,5.0
ef9f2365f60ac8e2356e254c8c91488f7326,Philanthropist,24,Socialiser,Complete a workout with a friend and both achieve 100% execution.,2025-05-04,skip,False,0,0.0,5.0
ef9f2365f60ac8e2356e254c8c91488f7326,Philanthropist,24,Socialiser,Complete a workout with a friend and both achieve 100% execution.,2025-05-05,skip,False,0,0.0,5.0
ef9f2365f60ac8e2356e254c8c91488f7326,Philanthropist,24,Socialiser,Complete a workout with a friend and both achieve 100% execution.,2025-05-06,helped_beginner,True,1,50.0,5.0
ef9f2365f60ac8e2356e254c8c91488f7326,Philanthropist,24,Socialiser,Complete a workout with a friend and both achieve 100% execution.,2025-05-07,shared_routine,True,2,100.0,5.0
ef9f2365f60ac8e2356e254c8c91488f7326,Philanthropist,17,Philanthropist,Post a useful tip that helps others.,2025-05-26,skip,False,0,0.0,4.0
ef9f2365f60ac8e2356e254c8c91488f7326,Philanthropist,17,Philanthropist,Post a useful tip that helps others.,2025-05-27,posted_tip,True,1,100.0,4.0
ca13bee745eaeffb2c494385eeec9a475062,Philanthropist,19,Disruptor,Propose a public challenge for others to join.,2025-05-10,skip,False,0,0.0,0.0
ca13bee745eaeffb2c494385eeec9a475062,Philanthropist,19,Disruptor,Propose a public challenge for others to join.,2025-05-11,skip,False,0,0.0,0.0
ca13bee745eaeffb2c494385eeec9a475062,Philanthropist,19,Disruptor,Propose a public challenge for others to join.,2025-05-12,helped_beginner,True,1,100.0,0.0
ca13bee745eaeffb2c494385eeec9a475062,Philanthropist,14,Achiever,Complete all weekly goals for the month.,2025-05-06,helped_beginner,False,0,0.0,0.0
ca13bee745eaeffb2c494385eeec9a475062,Philanthropist,14,Achiever,Complete all weekly goals for the month.,2025-05-07,helped_beginner,False,0,0.0,0.0
