user_id,challenge_id,registration_date
28359f7fc700f9b9904a3b619c84022c7459,5,2025-06-01
28359f7fc700f9b9904a3b619c84022c7459,10,2025-05-30
ef9f2365f60ac8e2356e254c8c91488f7326,24,2025-05-02
ef9f2365f60ac8e2356e254c8c91488f7326,17,2025-05-26
ca13bee745eaeffb2c494385eeec9a475062,19,2025-05-10
ca13bee745eaeffb2c494385eeec9a475062,14,2025-05-06
ef9f2365f60ac8e2356e254c8c91488f6180,4,2025-06-04
ef9f2365f60ac8e2356e254c8c91488f6180,11,2025-05-03
ef9f2365f60ac8e2356e254c8c91488f5458,21,2025-05-14
ef9f2365f60ac8e2356e254c8c91488f5458,14,2025-05-12
ef9f2365f60ac8e2356e254c8c91488f5458,18,2025-05-27
28359f7fc700f9b9904a3b619c84022c2206,20,2025-05-18
28359f7fc700f9b9904a3b619c84022c2206,24,2025-05-03
28359f7fc700f9b9904a3b619c84022c17211,7,2025-05-11
28359f7fc700f9b9904a3b619c84022c17211,13,2025-05-05
28359f7fc700f9b9904a3b619c84022c17211,4,2025-05-14
28359f7fc700f9b9904a3b619c84022c13485,1,2025-05-16
28359f7fc700f9b9904a3b619c84022c13485,20,2025-05-19
28359f7fc700f9b9904a3b619c84022c13485,3,2025-05-12
28359f7fc700f9b9904a3b619c84022c13485,23,2025-05-09
28359f7fc700f9b9904a3b619c84022c17529,5,2025-05-19
28359f7fc700f9b9904a3b619c84022c17529,7,2025-05-07
a855c5c74458a07ac7301a1a8df5b7ed10094,14,2025-05-08
a855c5c74458a07ac7301a1a8df5b7ed10094,24,2025-05-29
a855c5c74458a07ac7301a1a8df5b7ed10094,3,2025-05-01
a855c5c74458a07ac7301a1a8df5b7ed10094,1,2025-05-17
ef9f2365f60ac8e2356e254c8c91488f5380,22,2025-05-21
ef9f2365f60ac8e2356e254c8c91488f5380,15,2025-05-24
28359f7fc700f9b9904a3b619c84022c9488,18,2025-05-05
28359f7fc700f9b9904a3b619c84022c9488,17,2025-05-01
28359f7fc700f9b9904a3b619c84022c9488,9,2025-05-06
ef9f2365f60ac8e2356e254c8c91488f9260,9,2025-05-21
ef9f2365f60ac8e2356e254c8c91488f9260,11,2025-05-15
